,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG,Actual_Job_Link
15,Cactus Communications Pvt. Ltd.,Data Analyst,,2 - 7 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,157,https://www.naukri.com/job-listings-Senior-Data-Scientist-Cactus-Communications-Pvt-Ltd-Mumbai-2-to-7-years-220917007027,Posted 6 days ago,Senior Data Scientist,1500+,"MySQL,PHP,Laravel,Drupal,Angularjs,Solr,MongoDB,Postgresql,Python,Support Services ",Mumbai,,,Analytics & BI,"INR  15,00,000 - 20,00,000 P.A.","15,00,000 - 20,00,000 P.A.","Required Skills & ExperienceMinimum 2 years experience as Data ScientistMinimum 5 years working closely with Technology teamsHands on Python programming experienceHands on experience with at least one of the big data ecosystems (Hadoop, Redshift-EMR etc)Proven experience of working with unstructured data and creating relationship and structure around it to solve strategic, tactical, structured, and unstructured business problems Deep experience in predictive analytics and statistical modellingExperience in successfully making use of three or more of the following: Logistic Regression Multivariate Regression, Support Vector Machines, Stochastic Processes, Decision Trees, Lifetime analysis, common clustering algorithms, Optimization Experience with one or more visualization tools like Tableau, Qlickview, Cognos, PowerBi etc. Preferred Skills & ExperienceExperience with or in the academia/scientific publishing industryExperience with neo4j, graphQL OR similar graph databasesExperience with Natural Language Processing and Stanfords NLTK",,https://www.naukri.com/job-listings-Senior-Data-Scientist-Cactus-Communications-Pvt-Ltd-Mumbai-2-to-7-years-220917007027
16,Morningstar India (P) Ltd.,Other,,3 - 6 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,462,https://www.naukri.com/job-listings-Research-Engineer-data-Scientist-Morningstar-India-P-Ltd-Mumbai-3-to-6-years-140917003438,Posted 7 days ago,Research Engineer (data Scientist),1500+,"quantitative research,r,analytics,machine learning,python,software engineering,Data science,Statistical Analyst,data scientist ",Mumbai,,,Other,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,,https://www.naukri.com/job-listings-Research-Engineer-data-Scientist-Morningstar-India-P-Ltd-Mumbai-3-to-6-years-140917003438
17,Crescendo Global Services,Analytics Manager,,1 - 5 yrs,Analytics & Business Intelligence,Insurance,123,https://www.naukri.com/job-listings-Analyst-Data-Scientist-Insurance-1-4-5-Years-Crescendo-Global-Services-Mumbai-1-to-5-years-141017002596,Posted 3 days ago,Analyst Data Scientist Insurance (1-4.5 Years),550,"Text Mining,Natural Language Processing,R,Data Science,Machine Learning,Artificial Intelligence,Python,Data Mining,Statistical Modeling,Advanced Analytics ",Mumbai,,,Analytics & BI,"INR  3,00,000 - 8,00,000 P.A.","3,00,000 - 8,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Analyst-Data-Scientist-Insurance-1-4-5-Years-Crescendo-Global-Services-Mumbai-1-to-5-years-141017002596
18,Crescendo Global Services,Other,,4 - 9 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,59,https://www.naukri.com/job-listings-Data-Scientist-Crescendo-Global-Services-Mumbai-Chennai-4-to-9-years-141017000938,Posted 5 days ago,Data Scientist,388,"Machine Learning,SQL,Excel,Python,Statistics,Spark,Hadoop,Analytics,SAS,Data Analysis,Data Scientist ","Mumbai,    Chennai",,,Other,"INR  20,00,000 - 35,00,000 P.A.","20,00,000 - 35,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Data-Scientist-Crescendo-Global-Services-Mumbai-Chennai-4-to-9-years-141017000938
19,Error,,,Error,,,133,https://www.naukri.com/job-listings-Senior-Data-Scientist-Verint-Systems-India-Pvt-Ltd-Bengaluru-2-to-7-years-070917901451,Posted: 8 days ago,Error,220,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Verint-Systems-India-Pvt-Ltd-Bengaluru-2-to-7-years-070917901451
20,Boston Software Consultants India Pvt. Ltd.,Database Architect/Designer,,5 - 10 yrs,"IT Software - Application Programming   ,     Maintenance",Banking  /    Financial Services  /    Broking,80,https://www.naukri.com/job-listings-Opening-for-Data-Scientist-sr-data-Analyst-Gurgaon-Boston-Software-Consultants-India-Pvt-Ltd-Gurgaon-5-to-10-years-101017006341,Posted 9 days ago,Opening for Data Scientist/sr.data Analyst- Gurgaon,460,"Predictive Modeling,R,Python,Big Data,spark,bigdata tools,banking,financial services,insurance ",Gurgaon,Openings: 9,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,,https://www.naukri.com/job-listings-Opening-for-Data-Scientist-sr-data-Analyst-Gurgaon-Boston-Software-Consultants-India-Pvt-Ltd-Gurgaon-5-to-10-years-101017006341
21,JConnect Infotech Private Limited,Branch Manager,,8 - 13 yrs,"Sales   ,     Retail   ,     Business Development",IT-Software  /    Software Services,54,https://www.naukri.com/job-listings-Urgent-Hiring-data-Scientist-analyst-bangalore-Permanent-JConnect-Infotech-Private-Limited-Bengaluru-8-to-13-years-250917000758,Posted 24 days ago,"Urgent Hiring:""data Scientist/analyst"" |bangalore | Permanent",542,"machine learning,python,spark,algorithms,nosql,product service,Deep Learning,Scikit - learn,NumPy,SciPy,Tensorflow ",Bengaluru,,,Retail Sales,"INR  10,00,000 - 17,00,000 P.A.","10,00,000 - 17,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Urgent-Hiring-data-Scientist-analyst-bangalore-Permanent-JConnect-Infotech-Private-Limited-Bengaluru-8-to-13-years-250917000758
22,Error,,,Error,,,164,https://www.naukri.com/job-listings-Lennox-is-Hiring-Data-Scientist-Chennai-Location-Lennox-India-Technology-Centre-Private-Limited-Chennai-8-to-13-years-190717002494,Posted: 9 days ago,Error,196,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Lennox-is-Hiring-Data-Scientist-Chennai-Location-Lennox-India-Technology-Centre-Private-Limited-Chennai-8-to-13-years-190717002494
23,Error,,,Error,,,3599+,https://www.naukri.com/job-listings-Senior-Data-Scientist-ZS-ZS-ASSOCIATES-Pune-Gurgaon-4-to-9-years-120916003586,Posted: 14 days ago,Error,4303+,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-ZS-ZS-ASSOCIATES-Pune-Gurgaon-4-to-9-years-120916003586
24,DECISIVEDGE TECHNOLOGY SERVICES INDIA PVT LTD,Other,,2 - 4 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,100,https://www.naukri.com/job-listings-Data-Scientist-DECISIVEDGE-TECHNOLOGY-SERVICES-INDIA-PVT-LTD-Pune-2-to-4-years-101017001762,Posted 9 days ago,Data Scientist,330,"text mining,data science,sas,data mining,machine learning,analytics,statistics,statistical programming,financial services,bfsi,banking,financial ",Pune,Openings: 2,,Other,"INR  8,50,000 - 10,00,000 P.A.","8,50,000 - 10,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Data-Scientist-DECISIVEDGE-TECHNOLOGY-SERVICES-INDIA-PVT-LTD-Pune-2-to-4-years-101017001762
